Strand Name1, Strand Name2, Start Time(YYYY:MM : DD),Stop Time(YYYY:MM : DD),Duration(sec)
YH1->FX1107->XG9, XG9->FX0408->YH2,2017:05:08:06:59:57, 2017:05:08:07:00:53,56
YH1->FX1007->XG9, XG9->FX1206->YH2,2017:05:08:07:01:56, 2017:05:08:07:02:54,58
YH1->FX0307->XG9, XG9->FX0407->YH2,2017:05:08:07:04:28, 2017:05:08:07:08:43,255
YH1->FX1106->XG9, XG9->FX0407->YH2,2017:05:08:07:08:43, 2017:05:08:07:09:55,72
YH1->FX1006->XG9, XG9->FX1205->YH2,2017:05:08:07:10:52, 2017:05:08:07:12:14,82
YH1->FX0306->XG9, XG9->FX0406->YH2,2017:05:08:07:13:27, 2017:05:08:07:17:26,239
YH1->FX0405->XG9, XG9->FX0406->YH2,2017:05:08:07:17:26, 2017:05:08:07:18:55,89
YH1->FX1005->XG9, XG9->FX1204->YH2,2017:05:08:07:20:18, 2017:05:08:07:21:02,44
YH1->FX0305->XG9, XG9->FX0405->YH2,2017:05:08:07:22:46, 2017:05:08:07:26:05,199
YH1->FX0404->XG9, XG9->FX0405->YH2,2017:05:08:07:26:05, 2017:05:08:07:27:55,110
